problem,path,artist_folder,file_count_in_folder,tag_title,tag_artist,tag_album,tag_album_artist,probable_source_album,probable_track_title,duration_seconds
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/4 Pantomime/Unknown Album/A Musical History [CD 3] - T.mp3,4 Pantomime,1,A Musical History [CD 3] - T,21_4__Pantomime_,,,A Musical History,4 Pantomime,362
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Acadian Driftwood/Unknown Album/A Musical History [CD 5] - T.mp3,Acadian Driftwood,1,A Musical History [CD 5] - T,08_Acadian_Driftwood_,,,A Musical History,Acadian Driftwood,402
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Across The Great Divide/Unknown Album/A Musical History [CD 3] - T.mp3,Across The Great Divide,1,A Musical History [CD 3] - T,01_Across_The_Great_Divide_,,,A Musical History,Across The Great Divide,173
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Ain't Got No Home/Unknown Album/A Musical History [CD 5] - T.mp3,Ain't Got No Home,1,A Musical History [CD 5] - T,01_Ain't_Got_No_Home_,,,A Musical History,Ain't Got No Home,205
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Ain't No More Cane On The/Unknown Album/A Musical History [CD 2] - T.mp3,Ain't No More Cane On The,1,A Musical History [CD 2] - T,02_Ain't_No_More_Cane_On_The_,,,A Musical History,Ain't No More Cane On The,239
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/All La Glory (Early Versio/Unknown Album/A Musical History [CD 3] - T.mp3,All La Glory (Early Versio,1,A Musical History [CD 3] - T,12_All_La_Glory_(Early_Versio,,,A Musical History,All La Glory (Early Versio,207
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Baby Lou/Unknown Album/The Band - A Musical History.mp3,Baby Lou,1,The Band - A Musical History,17_Baby_Lou_,,,,Baby Lou,220
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Bacon Fat/Unknown Album/A Musical History [CD 1] - T.mp3,Bacon Fat,1,A Musical History [CD 1] - T,06_Bacon_Fat_,,,A Musical History,Bacon Fat,160
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Beautiful Thing (Song Sket/Unknown Album/A Musical History [CD 1] - T.mp3,Beautiful Thing (Song Sket,1,A Musical History [CD 1] - T,20_Beautiful_Thing_(Song_Sket,,,A Musical History,Beautiful Thing (Song Sket,101
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Ben Colder/Unknown Album/Still No2.mp3,Ben Colder,1,Still No2,Ben Colder,,,,Ben Colder,189
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Bessie Smith/Unknown Album/A Musical History [CD 2] - T.mp3,Bessie Smith,1,A Musical History [CD 2] - T,20_Bessie_Smith_,,,A Musical History,Bessie Smith,258
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Bloodstone Crate Classics #SlowJams 💿/Unknown Album/Natural High.mp3,Bloodstone Crate Classics #SlowJams 💿,1,Natural High By Bloodstone Crate Classics #SlowJams 💿,,ROSE BK,,,Bloodstone Crate Classics #SlowJams 💿,293
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Blue Magic/Unknown Album/Sideshow.mp3,Blue Magic,1,Sideshow By Blue Magic,,ROSE BK,,,Blue Magic,252
